time,pressure[mbar]
05/03/22 00:10:49,0.00022
05/03/22 00:20:59,0.00022
05/03/22 00:31:10,0.00022
05/03/22 00:41:20,0.00022
05/03/22 00:51:31,0.00022
05/03/22 01:01:41,0.00022
05/03/22 01:11:52,0.00022
05/03/22 01:22:02,0.00022
05/03/22 01:32:13,0.00022
05/03/22 01:42:23,0.00022
05/03/22 01:52:34,0.00022
05/03/22 02:02:44,0.00022
05/03/22 02:12:55,0.00022
05/03/22 02:23:05,0.00022
05/03/22 02:33:15,0.00021
05/03/22 02:43:26,0.00021
05/03/22 02:53:36,0.00021
05/03/22 03:03:47,0.00021
05/03/22 03:13:57,0.00021
05/03/22 03:24:08,0.00021
05/03/22 03:34:18,0.0002
05/03/22 03:44:28,0.0002
05/03/22 03:54:39,0.0002
05/03/22 04:04:49,0.0002
05/03/22 04:15:00,0.0002
05/03/22 04:25:10,0.0002
05/03/22 04:35:21,0.00019
05/03/22 04:45:31,0.00019
05/03/22 04:55:42,0.00019
05/03/22 05:05:52,0.00019
05/03/22 05:16:03,0.00019
05/03/22 05:26:13,0.00019
05/03/22 05:36:23,0.00019
05/03/22 05:46:34,0.00019
05/03/22 05:56:44,0.00018
05/03/22 06:06:55,0.00018
05/03/22 06:17:05,0.00018
05/03/22 06:27:16,0.00018
05/03/22 06:37:26,0.00018
05/03/22 06:47:37,0.00018
05/03/22 06:57:47,0.00018
05/03/22 07:07:58,0.00018
05/03/22 07:18:08,0.00018
05/03/22 07:28:19,0.00018
05/03/22 07:38:29,0.00017
05/03/22 07:48:39,0.00017
05/03/22 07:58:50,0.00017
05/03/22 08:09:00,0.00017
05/03/22 08:19:11,0.00017
05/03/22 08:29:21,0.00017
05/03/22 08:39:32,0.00017
05/03/22 08:49:42,0.00016
05/03/22 08:59:53,0.00016
05/03/22 09:21:08,0.00014
05/03/22 09:31:19,0.00014
05/03/22 09:41:29,0.00013
05/03/22 09:51:58,0.00013
05/03/22 10:02:08,0.00012
05/03/22 10:12:18,0.00012
05/03/22 10:22:29,0.00012
05/03/22 10:37:52,0.00011
05/03/22 10:48:03,0.00011
05/03/22 10:58:13,0.00011
05/03/22 11:08:24,0.00011
05/03/22 11:18:34,0.00011
05/03/22 11:28:45,0.00011
05/03/22 11:38:55,0.00011
05/03/22 11:49:06,0.0001
05/03/22 11:59:16,0.0001
05/03/22 12:09:27,0.0001
05/03/22 12:19:37,0.0001
05/03/22 12:29:47,0.0001
05/03/22 12:39:58,0.0001
05/03/22 12:50:08,0.0001
05/03/22 13:00:19,9.6e-05
05/03/22 13:10:29,0.0001
05/03/22 13:20:40,0.00012
05/03/22 13:30:50,0.00013
05/03/22 13:41:01,0.00014
05/03/22 13:51:11,0.00014
05/03/22 14:01:22,0.00015
05/03/22 14:11:32,0.00015
05/03/22 14:21:43,0.00016
05/03/22 14:31:53,0.00016
05/03/22 14:42:04,0.00016
05/03/22 14:52:14,0.00016
05/03/22 15:02:24,0.00016
05/03/22 15:12:35,0.00016
05/03/22 15:22:45,0.00016
05/03/22 15:32:56,0.00016
05/03/22 15:43:06,0.00016
05/03/22 15:53:17,0.00016
05/03/22 16:03:27,0.00016
05/03/22 16:13:38,0.00016
05/03/22 16:23:48,0.00016
05/03/22 16:33:59,0.00016
05/03/22 16:44:09,0.00016
05/03/22 16:54:20,0.00016
05/03/22 17:04:30,0.00016
05/03/22 17:14:41,0.00017
05/03/22 17:24:51,0.00017
05/03/22 17:35:02,0.00016
05/03/22 17:45:12,0.00017
05/03/22 17:55:23,0.00017
05/03/22 18:05:33,0.00016
05/03/22 18:15:44,0.00016
05/03/22 18:25:54,0.00016
05/03/22 18:36:05,0.00016
05/03/22 18:46:15,0.00016
05/03/22 18:56:25,0.00016
05/03/22 19:06:36,0.00016
05/03/22 19:16:46,0.00016
05/03/22 19:26:57,0.00016
05/03/22 19:37:07,0.00016
05/03/22 19:47:17,0.00016
05/03/22 19:57:28,0.00015
05/03/22 20:07:39,0.00015
05/03/22 20:17:49,0.00015
05/03/22 20:27:59,0.00015
05/03/22 20:38:10,0.00015
05/03/22 20:48:20,0.00015
05/03/22 20:58:31,0.00015
05/03/22 21:08:41,0.00015
05/03/22 21:18:52,0.00015
05/03/22 21:29:02,0.00015
05/03/22 21:39:13,0.00015
05/03/22 21:49:23,0.00015
05/03/22 21:59:34,0.00015
05/03/22 22:09:44,0.00015
05/03/22 22:19:55,0.00015
05/03/22 22:30:05,0.00015
05/03/22 22:40:16,0.00015
05/03/22 22:50:26,0.00015
05/03/22 23:00:36,0.00014
05/03/22 23:10:47,0.00014
05/03/22 23:20:58,0.00014
05/03/22 23:31:08,0.00014
05/03/22 23:41:18,0.00014
05/03/22 23:51:29,0.00014
